Donor,Recipient,Commodity,VWT,Water Saved
Canada,"Congo, Democratic Republic of the",BEANS,3193045.81917894,0
Canada,Rwanda,VEGETABLE OIL,668731.0554067283,0
Cuba,"Korea, Democratic People's Republic of",SUGAR,6169195.873032766,0
Denmark,Mauritania,PEA WHEAT BLENDED,190608.06672960188,
Denmark,Rwanda,VEGETABLE OIL,0.0,0
Denmark,Uganda,VEGETABLE OIL,0.0,0
European Community,Occupied Palestinian Territory,VEGETABLE OIL,183888.8210654088,
Italy,Algeria,CANNED FISH,,
Italy,Algeria,SUGAR,0.0,
Italy,"Congo, Democratic Republic of the",RICE,2948651.32852225,12727651.04286927
Italy,Mauritania,RICE,3620584.718799204,759523.9046009824
Japan,Bolivia,RICE,1279708.6541403618,2642502.292350329
Japan,Burundi,RICE,130018.39926066076,224657.489613718
Japan,Mozambique,RICE,5088121.608862079,35620770.302712426
Saudi Arabia,Ethiopia,DRIED FRUITS,0.0,628558.1469777353
Saudi Arabia,Senegal,DRIED FRUITS DATES,350459.00209345826,
Switzerland,Ukraine,DAIRY PRODUCTS,0.0,0.0
United States of America,Azerbaijan,WHEAT FLOUR,4516289.9931836855,-1939519.0015023984
United States of America,Burundi,CORN-SOYA BLEND,2217721.4084482556,0
United States of America,Chad,MAIZE MEAL,464703.4667051394,2588808.493686204
United States of America,Chad,LENTILS,1779883.962884425,
United States of America,Ethiopia,BEANS,307574.7369686774,1028300.1026939164
United States of America,Indonesia,CORN-SOYA BLEND,436493.457374856,645945.6781492741
United States of America,Indonesia,VEGETABLE OIL,9174597.278351707,13850101.550543297
United States of America,Indonesia,PEAS,419908.59497304127,0
United States of America,Kenya,PINTO BEANS,657674.6727229939,0
United States of America,Lesotho,SORGHUM,2823144.13742588,0
United States of America,Liberia,LENTILS,1478857.9689194069,0
United States of America,Madagascar,VEGETABLE OIL,63934.47580732896,
United States of America,Madagascar,BEANS,539891.8255301253,380380.5372167565
United States of America,Malawi,SORGHUM,5985065.571342867,
United States of America,Nepal,RICE,2296617.3676017043,1291074.6384437927
United States of America,Nepal,LENTILS,356173.1421529993,
United States of America,Nicaragua,CORN-SOYA BLEND,2022727.4696849815,2212049.667944864
United States of America,Rwanda,PEAS,917334.5266233429,0
United States of America,Somalia,CORN-SOYA BLEND,1931427.5881840745,5775269.3057724275
United States of America,Somalia,PEAS,220507.26349176417,
United States of America,Sudan,PLAIN DRIED SKIM MILK,95582.56905828796,-95582.56905828796
United States of America,Swaziland,MAIZE,1757151.6881589354,10922484.720940804
United States of America,Tanzania,MAIZE,14701470.243148811,0
United States of America,Zimbabwe,BULGUR WHEAT,22439116.64640957,-8939462.19390377
Algeria,Niger,RICE,8524108.18181818,16723869.262225088
Algeria,Niger,WHEAT FLOUR,68157.33490706517,-11797.234672024588
Canada,"Korea, Democratic People's Republic of",WHEAT,4945034.994943184,3088259.447247123
Canada,Guinea,VEGETABLE OIL,1019544.5596118798,0
Canada,Mozambique,VEGETABLE OIL,2873333.479950781,0
Canada,Sudan,WHEAT,4189934.72313602,1459651.220040109
Denmark,Ethiopia,VEGETABLE OIL,0.0,1111904.7052902738
Denmark,Yemen,VEGETABLE OIL,0.0,
Equatorial Guinea,Niger,RICE,0.0,153157.67832044672
Equatorial Guinea,Niger,WHEAT FLOUR,0.0,70186.92432757234
Italy,Algeria,PASTA,1000212.555774458,1787254.382742545
Italy,Algeria,RICE,1294737.0871767271,
Italy,Algeria,DRIED WHOLE MILK,0.0,0.0
Italy,Cambodia,CORN-SOYA BLEND,178079.43856531012,182588.8277533413
Italy,Ethiopia,RICE,1839049.4251630208,3428097.6458119927
Italy,Guinea-Bissau,RICE,1087437.9209659602,2419865.2995899087
Italy,Somalia,RICE,2191148.1328029283,20185.716907074053
Italy,Yemen,WHEAT FLOUR,4030157.8795125103,9894845.18006264
Italy,Yemen,CONCENTRATED TOMATE PASTE,112151.0718101512,328952.2263113058
Japan,Bhutan,RICE,1023766.9233122894,3933720.4749573967
Japan,Indonesia,RICE,24643094.63481704,30508801.49346499
Japan,Mali,RICE,6987352.57897564,25384003.365013756
Morocco,Niger,PASTA,57635.57239715304,-4377.734217391151
Morocco,Niger,RICE,203683.8439197051,211355.9104400728
