"","Pop_change_all","Income_change_all","Ag_change_all","Livstk_change_all","Avg_Rain_all","Avg_Temp_all","cluster_all","Water_change_all"
"464",-201,4149.5,-2530,-2200,49.27,64.6916666666667,4,-0.3
"465",1486,2741.5,-3726,-5500,49.106,64.87,4,13.95
"468",2291.5,2076.5,-223,-2500,44.44,66.415,4,-9.97
"469",586.5,2125,3984,500,46.816,63.685,4,7.34
"470",397,2872.5,-452,-700,46.51,65.8366666666667,4,-4.26
"471",158.5,2685,6645,-1300,50.992,65.485,4,1.29
"472",1875.5,2959,1788,-3900,51.188,66.8233333333333,4,8.04
"473",1704.5,3110.5,4235,0,45.498,65.7766666666667,4,-6.66
"474",997.5,2238.5,609,5200,44.65,66.0916666666667,4,7.34
"476",430,2628.5,431,-1200,44.79,65.395,4,-0.0699999999999998
"478",400.5,2750.5,10690,-2000,47.972,65.3466666666667,4,-2.38
"479",392,2874.5,1809,-1000,43.154,64.395,4,-3.61
"481",648.5,3249.5,658,-1900,47.158,62.77,4,-0.840000000000002
"483",11050.5,3769,-264,-700,49.65,61.275,4,3.28
"484",6,2336,1654,-2000,47.05,67.4733333333333,4,3.91
"486",1032,2824,3062,-1900,44.508,64.1633333333333,4,1.65
"487",2104.5,2886,-2761,300,45.786,66.9066666666667,4,-1.43000000000001
"488",63.5,2785,1965,-700,50.34,64.61,4,-1.46
"489",638,1741.5,1142,-1100,45.044,65.7833333333333,4,1.81
"492",784.5,2640.5,-4475,-3500,47.336,65.3933333333333,4,7.8
"495",1111,3193.5,-644,-300,47.834,65.8466666666667,4,13.38
"1052",1489.5,2736,-14478,0,52.688,68.6983333333333,4,76.38
"1053",2107,2853.5,2087,2000,54.634,67.9333333333333,4,14.48
"1054",9206.5,3688,222,0,57.942,68.4183333333333,4,-9.71000000000001
"1056",1161,2636,3293,500,52.668,67.3666666666667,4,5.17
"1057",1451.5,2709,344,500,55.038,67.6,4,0.190000000000001
"1059",6111,3401,680,500,56.828,65.095,4,1.85
"1060",1954,3117.5,3410,-500,54.312,65.5816666666667,4,59.51
