,Geo_FIPS,Geo_QName,population_2020,population_2010,population_2000,population_1990,population_1980,pop_changes
259,8091,"Ouray County, Colorado",4890,4319,3742,2295,1925,2965
260,8093,"Park County, Colorado",18345,16286,14523,7174,5333,13012
261,8095,"Phillips County, Colorado",4343,4394,4480,4189,4542,-199
262,8097,"Pitkin County, Colorado",17980,16389,14872,12661,10338,7642
263,8099,"Prowers County, Colorado",12035,12734,14483,13347,13070,-1035
264,8101,"Pueblo County, Colorado",167412,156244,141472,123051,125972,41440
265,8103,"Rio Blanco County, Colorado",6369,6494,5986,5972,6255,114
266,8105,"Rio Grande County, Colorado",11300,11926,12413,10770,10511,789
267,8107,"Routt County, Colorado",25317,22924,19690,14088,13404,11913
268,8109,"Saguache County, Colorado",6730,6161,5917,4619,3935,2795
269,8111,"San Juan County, Colorado",646,752,558,745,833,-187
270,8113,"San Miguel County, Colorado",8110,7299,6594,3653,3192,4918
271,8115,"Sedgwick County, Colorado",2306,2412,2747,2690,3266,-960
272,8117,"Summit County, Colorado",30735,27105,23548,12881,8848,21887
273,8119,"Teller County, Colorado",24981,22821,20555,12468,8034,16947
274,8121,"Washington County, Colorado",4869,4773,4926,4812,5304,-435
275,8123,"Weld County, Colorado",315389,242860,180936,131821,123438,191951
276,8125,"Yuma County, Colorado",10013,9896,9841,8954,9682,331
277,9001,"Fairfield County, Connecticut",944306,905342,882567,827645,807143,137163
278,9003,"Hartford County, Connecticut",892153,887976,857183,851783,807766,84387
279,9005,"Litchfield County, Connecticut",181143,189916,182193,174092,156769,24374
280,9007,"Middlesex County, Connecticut",162742,164774,155071,143196,129017,33725
281,9009,"New Haven County, Connecticut",855733,856688,824008,804219,761337,94396
282,9011,"New London County, Connecticut",266868,272360,259088,254957,238409,28459
283,9013,"Tolland County, Connecticut",150947,151073,136364,128699,114823,36124
284,9015,"Windham County, Connecticut",116657,117708,109091,102525,92312,24345
285,10001,"Kent County, Delaware",179124,156918,126697,110993,98219,80905
286,10003,"New Castle County, Delaware",558306,533514,500265,441946,398115,160191
287,10005,"Sussex County, Delaware",230249,190846,156638,113229,98004,132245
288,11001,"District Of Columbia, District Of Columbia",701974,584400,572059,606900,638333,63641
289,12001,"Alachua County, Florida",268105,244247,217955,181596,151348,116757
290,12003,"Baker County, Florida",28679,26548,22259,18486,15289,13390
291,12005,"Bay County, Florida",180076,166798,148217,126994,97740,82336
292,12007,"Bradford County, Florida",27723,28750,26088,22515,20023,7700
293,12009,"Brevard County, Florida",594001,540583,476230,398978,272959,321042
294,12011,"Broward County, Florida",1942273,1734139,1623018,1255488,1018200,924073
295,12013,"Calhoun County, Florida",14324,14372,13017,11011,9294,5030
296,12015,"Charlotte County, Florida",185926,159385,141627,110975,58460,127466
297,12017,"Citrus County, Florida",147938,140686,118085,93515,54703,93235
298,12019,"Clay County, Florida",215294,186076,140814,105986,67052,148242
299,12021,"Collier County, Florida",379345,316931,251377,152099,85971,293374
300,12023,"Columbia County, Florida",70898,66964,56513,42613,35399,35499
301,12027,"De Soto County, Florida",37371,34557,32209,23865,19039,18332
302,12029,"Dixie County, Florida",16740,16196,13827,10585,7751,8989
303,12031,"Duval County, Florida",948651,854848,778879,672971,571003,377648
304,12033,"Escambia County, Florida",316691,297940,294410,262798,233794,82897
305,12035,"Flagler County, Florida",112854,91806,49832,28701,10913,101941
